date,number of daily cases,number of daily deaths
Feb 15  2020,0,0
Feb 16  2020,0,0
Feb 17  2020,0,0
Feb 18  2020,0,0
Feb 19  2020,0,0
Feb 20  2020,0,0
Feb 21  2020,0,0
Feb 22  2020,0,0
Feb 23  2020,0,0
Feb 24  2020,0,0
Feb 25  2020,2,0
Feb 26  2020,4,1
Feb 27  2020,19,0
Feb 28  2020,18,0
Feb 29  2020,39,0
Mar 01  2020,27,0
Mar 02  2020,56,1
Mar 03  2020,20,1
Mar 04  2020,67,0
Mar 05  2020,126,3
Mar 06  2020,209,2
Mar 07  2020,269,7
Mar 08  2020,236,3
Mar 09  2020,185,11
Mar 10  2020,338,3
Mar 11  2020,452,15
Mar 12  2020,540,13
Mar 13  2020,714,18
Mar 14  2020,761,12
Mar 15  2020,840,36
Mar 16  2020,1100,21
Mar 17  2020,997,27
Mar 18  2020,1277,89
Mar 19  2020,1691,108
Mar 20  2020,1469,78
Mar 21  2020,1678,112
Mar 22  2020,1417,112
Mar 23  2020,3488,186
Mar 24  2020,2224,240
Mar 25  2020,2662,231
Mar 26  2020,3564,365
Mar 27  2020,3462,299
Mar 28  2020,4191,319
Mar 29  2020,2362,292
Mar 30  2020,3977,418
Mar 31  2020,6887,498
Apr 01  2020,4418,508
Apr 02  2020,1923,1354
Apr 03  2020,4755,1119
Apr 04  2020,3877,1052
Apr 05  2020,1703,517
Apr 06  2020,3555,832
Apr 07  2020,3432,1416
Apr 08  2020,3526,540
Apr 09  2020,3895,1339
Apr 10  2020,3946,986
Apr 11  2020,2829,634
Apr 12  2020,1466,561
Apr 13  2020,2428,574
Apr 14  2020,4996,761
Apr 15  2020,2393,1437
Apr 16  2020,2400,752
Apr 17  2020,368,760
Apr 18  2020,2335,641
Apr 19  2020,714,395
Apr 20  2020,1864,546
Apr 21  2020,2423,530
Apr 22  2020,1661,543
Apr 23  2020,1502,515
Apr 24  2020,1611,389
Apr 25  2020,1397,369
Apr 26  2020,419,242
Apr 27  2020,3420,436
Apr 28  2020,1381,367
Apr 29  2020,1675,426
Apr 30  2020,1061,289
May 01  2020,563,218
May 02  2020,740,166
May 03  2020,287,135
May 04  2020,537,306
May 05  2020,1029,330
May 06  2020,3898,278
May 07  2020,586,178
May 08  2020,598,243
May 09  2020,403,80
May 10  2020,195,70
May 11  2020,425,263
May 12  2020,659,348
May 13  2020,473,83
May 14  2020,580,351
May 15  2020,524,104
May 16  2020,347,96
May 17  2020,112,146
May 18  2020,459,131
May 19  2020,489,119
May 20  2020,389,110
May 21  2020,296,83
May 22  2020,366,74
May 23  2020,233,43
May 24  2020,107,35
May 25  2020,334,65
May 26  2020,257,98
May 27  2020,178,66
May 28  2020,3098,66
May 29  2020,556,52
May 30  2020,1703,57
May 31  2020,239,31
Jun 01  2020,315,31
Jun 02  2020,283,107
Jun 03  2020,330,81
Jun 04  2020,720,44
Jun 05  2020,573,46
Jun 06  2020,543,31
Jun 07  2020,322,13
Jun 08  2020,198,54
Jun 09  2020,378,87
Jun 10  2020,511,23
Jun 11  2020,399,27
Jun 12  2020,681,28
Jun 13  2020,494,24
Jun 14  2020,382,9
Jun 15  2020,143,29
Jun 16  2020,323,111
Jun 17  2020,430,28
Jun 18  2020,438,28
Jun 19  2020,761,14
Jun 20  2020,602,16
Jun 21  2020,267,7
Jun 22  2020,350,23
Jun 23  2020,485,57
Jun 24  2020,76,11
Jun 25  2020,0,21
Jun 26  2020,1490,26
Jun 27  2020,490,8
Jun 28  2020,490,9
Jun 29  2020,263,18
Jun 30  2020,508,30
Jul 01  2020,861,18
Jul 02  2020,618,14
Jul 03  2020,546,18
Jul 04  2020,526,7
Jul 05  2020,600,7
Jul 06  2020,165,13
Jul 07  2020,446,13
Jul 08  2020,622,32
Jul 09  2020,583,14
Jul 10  2020,617,25
Jul 11  2020,628,4
Jul 12  2020,627,3
Jul 13  2020,270,18
Jul 14  2020,480,71
Jul 15  2020,390,20
Jul 16  2020,501,18
Jul 17  2020,785,14
Jul 18  2020,812,9
Jul 19  2020,812,8
Jul 20  2020,328,8
Jul 21  2020,548,13
Jul 22  2020,937,7
Jul 23  2020,997,10
Jul 24  2020,1060,10
Jul 25  2020,956,4
Jul 26  2020,955,4
Jul 27  2020,482,9
Jul 28  2020,680,14
Jul 29  2020,1306,15
Jul 30  2020,1292,16
Jul 31  2020,1263,11
Aug 01  2020,0,3
Aug 02  2020,2646,4
Aug 03  2020,522,22
Aug 04  2020,975,2
Aug 05  2020,1591,9
Aug 06  2020,1505,7
Aug 07  2020,2147,12
Aug 08  2020,1910,1
Aug 09  2020,1909,1
Aug 10  2020,737,14
Aug 11  2020,1311,14
